OrganisationID¬ServiceName
220153¬Care home with nursing
220154¬Care home with nursing
220155¬Care home with nursing
220156¬Care home with nursing
220157¬Care home with nursing
220158¬Care home with nursing
220159¬Care home with nursing
220160¬Care home with nursing
220161¬Care home with nursing
220162¬Care home with nursing
220163¬Care home with nursing
220165¬Care home with nursing
220166¬Care home with nursing
220167¬Care home with nursing
220168¬Care home with nursing
220169¬Care home with nursing
222208¬Care home with nursing
222209¬Care home with nursing
222210¬Care home with nursing
222211¬Care home with nursing
222212¬Care home with nursing
222214¬Care home with nursing
222215¬Care home with nursing
222217¬Care home with nursing
222218¬Care home with nursing
222219¬Care home with nursing
222220¬Care home with nursing
222221¬Care home with nursing
222222¬Care home with nursing
222223¬Care home with nursing
222224¬Care home with nursing
222225¬Care home with nursing
224297¬Care home with nursing
224298¬Care home with nursing
224300¬Care home with nursing
224301¬Care home with nursing
224302¬Care home with nursing
224303¬Care home with nursing
224305¬Care home with nursing
224306¬Care home with nursing
224307¬Care home with nursing
224309¬Care home with nursing
224310¬Care home with nursing
224311¬Care home with nursing
224312¬Care home with nursing
224313¬Care home with nursing
220171¬Care home with nursing
220172¬Care home with nursing
220173¬Care home with nursing
220174¬Care home with nursing
220175¬Care home with nursing
220176¬Care home with nursing
220177¬Care home with nursing
220178¬Care home with nursing
220179¬Care home with nursing
220180¬Care home with nursing
220181¬Care home with nursing
220182¬Care home with nursing
220183¬Care home with nursing
220184¬Care home with nursing
220185¬Care home with nursing
220186¬Care home with nursing
220187¬Care home with nursing
220188¬Care home with nursing
222226¬Care home with nursing
222227¬Care home with nursing
222228¬Care home with nursing
222229¬Care home with nursing
222230¬Care home with nursing
222231¬Care home with nursing
222232¬Care home with nursing
222233¬Care home with nursing
222234¬Care home with nursing
222235¬Care home with nursing
222236¬Care home with nursing
222238¬Care home with nursing
222239¬Care home with nursing
222240¬Care home with nursing
226384¬Care home with nursing
226385¬Care home with nursing
226386¬Care home with nursing
226388¬Care home with nursing
226389¬Care home with nursing
226390¬Care home with nursing
226391¬Care home with nursing
226392¬Care home with nursing
226393¬Care home with nursing
226394¬Care home with nursing
226395¬Care home with nursing
226396¬Care home with nursing
226397¬Care home with nursing
226398¬Care home with nursing
226399¬Care home with nursing
226400¬Care home with nursing
226401¬Care home with nursing
220190¬Care home with nursing
220191¬Care home with nursing
220192¬Care home with nursing
220193¬Care home with nursing
220194¬Care home with nursing
220195¬Care home with nursing
220196¬Care home with nursing
220197¬Care home with nursing
220198¬Care home with nursing
220199¬Care home with nursing
220200¬Care home with nursing
220201¬Care home with nursing
220202¬Care home with nursing
220203¬Care home with nursing
220204¬Care home with nursing
220205¬Care home with nursing
220206¬Care home with nursing
220207¬Care home with nursing
228472¬Care home with nursing
228473¬Care home with nursing
228474¬Care home with nursing
